calendarId,title,body,recurrenceRule,start,end,category,location,backgroundColor,color,borderColor
5,Choose TAs,,NA,2026-03-21 12:30:00,2026-03-21 12:30:00,allday,,#BDC881,white,NA
5,Get TAs trained to access the vivarium and add them to the IACUC protocol,,NA,2026-03-21 12:30:00,2026-03-21 12:30:00,allday,,#BDC881,white,NA
5,E-mail Margaret Mentink-Kane to make informal request for schisto-infected mice,,NA,2026-06-21 12:30:00,2026-06-21 12:30:00,allday,,#BDC881,white,NA
5,Place formal request for Animal Import with DCM,,NA,2026-06-28 12:30:00,2026-06-28 12:30:00,allday,,#BDC881,white,NA
5,Get approval from DCM,,NA,2026-06-05 12:30:00,2026-06-05 12:30:00,allday,,#BDC881,white,NA
5,Place order for schisto-infected mice from BEI,,NA,2026-06-05 12:30:00,2026-06-05 12:30:00,allday,,#BDC881,white,NA
5,Prep this website and Canvas site by updating dates,,NA,2026-08-25 12:30:00,2026-08-25 12:30:00,allday,,#BDC881,white,NA
5,"Touch base with department collector about collections needed for upcoming labs (just a general heads up about what is needed, how much, and when)",,NA,2026-08-25 12:30:00,2026-08-25 12:30:00,allday,,#BDC881,white,NA
5,Touch base with facilities manager to obtain all general teaching supplies required for labs (see instructor's corner for full list),,NA,2026-08-25 12:30:00,2026-08-25 12:30:00,allday,,#BDC881,white,NA
5,"Check over the stockpile of parasitology teaching supplies, including Ascaris, canned salmon, insect Ringers', nose strips for Demodex, fecalyzers, fluid for fecalyzers, etc.",,NA,2026-09-01 12:30:00,2026-09-01 12:30:00,allday,,#BDC881,white,NA
5,"Review the labs, make sure that you have all the equipment you need, and order more if not",,NA,2026-09-01 12:30:00,2026-09-01 12:30:00,allday,,#BDC881,white,NA
5,"Schedule any guest speakers (e.g., rat lungworm patient)",,NA,2026-09-01 12:30:00,2026-09-01 12:30:00,allday,,#BDC881,white,NA
5,BEI infects mice,,NA,2026-08-24 12:30:00,2026-08-24 12:30:00,allday,,#BDC881,white,NA
5,Schisto-infected mice ship from BEI,,NA,2026-08-31 12:30:00,2026-08-31 12:30:00,allday,,#BDC881,white,NA
5,Launch Canvas site and send a welcome e-mail to enrolled students,,NA,2026-09-07 12:30:00,2026-09-07 12:30:00,allday,,#BDC881,white,NA
5,Receive schisto-infected mice from BEI,,NA,2026-09-01 12:30:00,2026-09-01 12:30:00,allday,,#BDC881,white,NA
5,Do first check of mice,,NA,2026-09-01 12:30:00,2026-09-01 12:30:00,allday,,#BDC881,white,NA
5,"TAs coordinate with facilities manager to get the lab space set up (microscopes in place, all supplies moved into the lab)",,NA,2026-09-01 12:30:00,2026-09-01 12:30:00,allday,,#BDC881,white,NA
5,Tune up microscopes so that they are ready for use,,NA,2026-09-08 12:30:00,2026-09-08 12:30:00,allday,,#BDC881,white,NA
5,"TAs perform check of website and Canvas, screening for errors and inconsistencies",,NA,2026-09-08 12:30:00,2026-09-08 12:30:00,allday,,#BDC881,white,NA
5,Check on mice in vivarium,,NA,2026-09-08 12:30:00,2026-09-08 12:30:00,allday,,#BDC881,white,NA
5,Check on mice in vivarium,,NA,2026-09-15 12:30:00,2026-09-15 12:30:00,allday,,#BDC881,white,NA
5,Give TAs copies of Roberts and Janovy,,NA,2026-09-22 12:30:00,2026-09-22 12:30:00,allday,,#BDC881,white,NA
5,Schedule weekly instructional personnel meetings throughout spring quarter (typically right after class every Friday),,NA,2026-09-22 12:30:00,2026-09-22 12:30:00,allday,,#BDC881,white,NA
5,Review labs with TAs and identify any training needs,,NA,2026-09-22 12:30:00,2026-09-22 12:30:00,allday,,#BDC881,white,NA
5,"Check tides, decide when you will collect H. oregonensis and H. nudus, rearrange the labs if need be",,NA,2026-08-25 12:30:00,2026-08-25 12:30:00,allday,,#BDC881,white,NA
5,Figure out which lectures the TAs want to give,,,2026-09-22 12:30:00,2026-09-22 12:30:00,allday,,#BDC881,white,NA
5,Check on mice in vivarium,,NA,2026-09-22 12:30:00,2026-09-22 12:30:00,allday,,#BDC881,white,NA
5,Send Canvas notification to students before class starts to review structure of course,,NA,2026-09-27 12:30:00,2026-09-27 12:30:00,allday,,#BDC881,white,NA
5,Check on mice in vivarium,,NA,2026-09-29 12:30:00,2026-09-29 12:30:00,allday,,#BDC881,white,NA
5,Send a reminder to students via Canvas re: lab,,NA,2026-09-05 12:30:00,2026-09-05 12:30:00,allday,,#BDC881,white,NA
5,Sacrifice mice and run schisto lab,,NA,2026-09-06 12:30:00,2026-09-06 12:30:00,allday,,#BDC881,white,NA
5,Remind TA that they'll need to go out and collect H. oregonensis and H. nudus ahead of the arthropods lab (and give them collecting permit to take with them),,NA,2026-10-09 12:30:00,2026-10-09 12:30:00,allday,,#BDC881,white,NA
5,Write and print the midterm and make sure to upload the final midterm file to the DRS website,,,2026-10-21 12:30:00,2026-10-21 12:30:00,allday,,#BDC881,white,NA
5,Reach out to DRS students to make sure that they have reservations to use the DRS testing center,,,2026-10-21 12:30:00,2026-10-21 12:30:00,allday,,#BDC881,white,NA
5,Ask department collector for wildlife poop for protozo lab,,NA,2026-11-07 12:30:00,2026-11-07 12:30:00,allday,,#BDC881,white,NA
5,Order termites - but don't order them until last minute because they don't last long,,NA,2026-11-13 12:30:00,2026-11-13 12:30:00,allday,,#BDC881,white,NA
5,Remind students to bring in dog poop for protozoa lab,,NA,2026-11-20 12:30:00,2026-11-20 12:30:00,allday,,#BDC881,white,NA
5,Create a Google doc for grading poster presentations,,NA,2026-11-04 12:30:00,2026-11-04 12:30:00,allday,,#BDC881,white,NA
5,Write and print the final and make sure to upload the final version of the file to the DRS website,,,2026-11-01 12:30:00,2026-10-09 12:30:00,allday,,#BDC881,white,NA
5,Reach out to DRS students to make sure that they have reservations to use the DRS testing center,,,2026-11-01 12:30:00,2026-10-09 12:30:00,allday,,#BDC881,white,NA
5,Provide feedback on student preliminary analysis assignment,,NA,2026-10-03 00:00:00,2026-10-06 00:00:00,allday,,#BDC881,white,NA
5,Engage in norming exercise to make sure all instructional personnel are providing equivalent feedback on student introduction sections,,NA,2026-11-10 00:00:00,2026-11-13 00:00:00,allday,,#BDC881,white,NA
5,Provide feedback on student introduction sections,,NA,2026-11-10 00:00:00,2026-11-13 00:00:00,allday,,#BDC881,white,NA
5,Provide feedback on student peer review assignment,,NA,2026-11-24 00:00:00,2026-11-27 00:00:00,allday,,#BDC881,white,NA
5,Provide feedback on student second draft assignment,,NA,2026-11-01 00:00:00,2026-12-08 00:00:00,allday,,#BDC881,white,NA
5,Grade student lab notebooks,,NA,2026-12-14 00:00:00,2026-12-18 00:00:00,allday,,#BDC881,white,NA
5,Grade Final Exam,,NA,2026-12-14 12:30:00,2026-12-18 12:30:00,allday,,#BDC881,white,NA
5,Grade Midterm Exam,,NA,2026-11-09 12:30:00,2026-11-13 12:30:00,allday,,#BDC881,white,NA
